INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
237362979,12/04/2021,12:43:00,BROOKLYN,76,2,MULTI DWELL - PUBLIC HOUS,false,,,,25-44,M,BLACK,"981,848","185,151",40.67488136200007,-74.00866088199997,POINT (-74.00866088199997 40.67488136200007)
222848393,01/08/2021,11:45:00,BROOKLYN,60,0,GROCERY/BODEGA,false,,,,25-44,M,BLACK,"984,092","149,560",40.57719185600007,-74.00057020999998,POINT (-74.00057020999998 40.57719185600007)
228865038,05/28/2021,16:14:00,BROOKLYN,71,0,,false,,,,18-24,M,BLACK,"995,361","181,624",40.66519388900008,-73.95995105499998,POINT (-73.95995105499998 40.66519388900008)
224954558,02/27/2021,22:30:00,MANHATTAN,10,0,MULTI DWELL - APT BUILD,false,18-24,M,BLACK,25-44,M,BLACK,"985,774","214,976",40.756744052000045,-73.99450053399994,POINT (-73.99450053399994 40.756744052000045)
225602525,03/13/2021,15:09:00,BRONX,52,0,,false,,,,18-24,M,WHITE HISPANIC,"1,018,269","258,023",40.874830591000034,-73.87699091199994,POINT (-73.87699091199994 40.874830591000034)
235543653,10/26/2021,15:22:00,MANHATTAN,32,0,,true,18-24,M,BLACK,<18,M,BLACK,"1,000,193","235,062",40.81186053000005,-73.94240713599999,POINT (-73.94240713599999 40.81186053000005)
224069697,02/06/2021,11:00:00,BRONX,45,0,MULTI DWELL - APT BUILD,false,,,,<18,M,BLACK,"1,033,217","254,904",40.86619963500005,-73.82296280999998,POINT (-73.82296280999998 40.86619963500005)
230310960,07/01/2021,16:45:00,BROOKLYN,67,0,,false,,,,25-44,M,BLACK,"998,813","171,101",40.636305537000055,-73.94753079799993,POINT (-73.94753079799993 40.636305537000055)
234261153,09/29/2021,18:15:00,BROOKLYN,79,0,,true,18-24,M,WHITE HISPANIC,<18,M,BLACK,"995,963","188,713",40.68465082400007,-73.95776878599996,POINT (-73.95776878599996 40.68465082400007)
233431368,09/12/2021,00:26:00,BROOKLYN,67,0,,false,,,,25-44,M,BLACK,"1,000,144","171,210",40.63660243000004,-73.94273493599997,POINT (-73.94273493599997 40.63660243000004)
226597465,04/06/2021,13:48:00,BROOKLYN,79,2,MULTI DWELL - PUBLIC HOUS,true,,,,25-44,M,BLACK,"999,282","192,769",40.695778596000025,-73.94579267699999,POINT (-73.94579267699999 40.695778596000025)
227433672,04/27/2021,22:08:00,BROOKLYN,81,2,MULTI DWELL - PUBLIC HOUS,false,18-24,M,BLACK,18-24,F,BLACK,"1,003,248","189,819",40.687673903000075,-73.93149871399999,POINT (-73.93149871399999 40.687673903000075)
231110269,07/20/2021,15:15:00,QUEENS,105,0,BANK,false,18-24,M,BLACK,18-24,M,BLACK,"1,053,012","187,109",40.67998889000006,-73.752088626,POINT (-73.752088626 40.67998889000006)
232188182,08/12/2021,17:05:00,MANHATTAN,9,0,,false,45-64,M,BLACK,45-64,M,BLACK,"991,074","203,262",40.72458953000006,-73.97538193299994,POINT (-73.97538193299994 40.72458953000006)
226503934,04/04/2021,21:05:00,BRONX,48,0,,false,25-44,M,BLACK,25-44,M,WHITE HISPANIC,"1,013,843","249,122",40.85041599500005,-73.89303433099997,POINT (-73.89303433099997 40.85041599500005)
235302695,10/21/2021,13:52:00,BRONX,40,0,,false,18-24,M,BLACK,25-44,M,BLACK,"1,008,582","233,339",40.80711225300007,-73.91210801499993,POINT (-73.91210801499993 40.80711225300007)
230161942,06/25/2021,00:56:00,BRONX,43,0,,false,,,,18-24,M,BLACK,"1,027,330","241,793",40.83024455100008,-73.84433126199998,POINT (-73.84433126199998 40.83024455100008)
227344198,04/23/2021,13:25:00,BROOKLYN,67,0,,false,,,,18-24,M,BLACK,"1,004,796","180,307",40.66156215000007,-73.92594595499997,POINT (-73.92594595499997 40.66156215000007)
229034592,06/02/2021,14:30:00,BRONX,48,0,,false,,,,25-44,M,WHITE HISPANIC,"1,014,004","247,798",40.84678146700002,-73.89245825499995,POINT (-73.89245825499995 40.84678146700002)
225909570,03/19/2021,16:05:00,BRONX,44,0,,false,,,,25-44,M,BLACK HISPANIC,"1,009,025","245,868",40.841499559000056,-73.91046152599995,POINT (-73.91046152599995 40.841499559000056)
